,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,Nhà tù Shawshank,1994,142 min,9.3,80        ,"2,446,445",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
1,Bố Già,1972,175 min,9.2,100        ,"1,693,784",$134.97M,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
2,Soorarai Pottru,2020,153 min,9.1,,"88,051",,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
3,Kỵ Sĩ Bóng Đêm,2008,152 min,9.0,84        ,"2,402,286",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,Bố Già Phần II,1974,202 min,9.0,90        ,"1,176,593",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
5,12 Angry Men,1957,96 min,9.0,96        ,"724,112",$4.36M,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,Dara iz Jasenovca,2020,130 min,8.9,,"78,804",,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
7,Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,2003,201 min,8.9,94        ,"1,700,212",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Pulp Fiction,1994,154 min,8.9,94        ,"1,896,772",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,Bản Danh Sách Của Schindler,1993,195 min,8.9,94        ,"1,258,985",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
10,Kẻ Đánh Cắp Giấc Mơ,2010,148 min,8.8,74        ,"2,154,994",$292.58M,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
11,Shershaah,2021,135 min,8.8,,"51,522",,"This is a story of a PVC awardee brave Indian soldier - Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999. His indomitable spirit and his unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
12,Sàn Đấu Sinh Tử,1999,139 min,8.8,66        ,"1,927,982",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
13,Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,2001,178 min,8.8,92        ,"1,721,308",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
14,Forrest Gump,1994,142 min,8.8,82        ,"1,891,047",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
15,"Thiện, Ác, Tà",1966,161 min,8.8,90        ,"713,754",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
16,Chúa Tể Những Chiếc Nhẫn: Hai Tòa Tháp,2002,179 min,8.7,87        ,"1,537,132",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
17,Ma Trận,1999,136 min,8.7,73        ,"1,741,567",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
18,Goodfellas,1990,146 min,8.7,90        ,"1,062,703",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
19,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7,82        ,"1,198,816",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
20,Bay Trên Tổ Chim Cúc Cu,1975,133 min,8.7,84        ,"949,162",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
21,Ký Sinh Trùng,2019,132 min,8.6,96        ,"646,723",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
22,Drishyam 2,2021,152 min,8.6,,"29,982",,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
23,Hố Đen Tử Thần,2014,169 min,8.6,74        ,"1,599,387",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
24,Cidade de Deus,2002,130 min,8.6,79        ,"718,527",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
25,Vùng Đất Linh Hồn,2001,125 min,8.6,96        ,"687,459",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
26,Giải Cứu Binh Nhì Ryan,1998,169 min,8.6,91        ,"1,284,224",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
27,Dặm Xanh,1999,189 min,8.6,61        ,"1,195,720",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
28,La vita è bella,1997,116 min,8.6,59        ,"648,029",$57.60M,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
29,Se7en,1995,127 min,8.6,65        ,"1,505,948",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
30,Sự Im Lặng Của Bầy Cừu,1991,118 min,8.6,85        ,"1,323,214",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
31,Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,1977,121 min,8.6,90        ,"1,270,820",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
32,Seppuku,1962,133 min,8.6,85        ,"48,046",,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
33,Shichinin no samurai,1954,207 min,8.6,98        ,"327,141",$0.27M,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
34,It's a Wonderful Life,1946,130 min,8.6,89        ,"420,246",,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
35,Ratsasan,2018,170 min,8.5,,"33,732",,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
36,Whiplash,2014,106 min,8.5,88        ,"756,589",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
37,The Intouchables,2011,112 min,8.5,57        ,"791,473",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
38,Ảo Thuật Gia Đấu Trí,2006,130 min,8.5,66        ,"1,236,908",$53.09M,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
39,Điệp Vụ Boston,2006,151 min,8.5,85        ,"1,233,266",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
40,Nghệ Sĩ Dương Cầm,2002,150 min,8.5,85        ,"764,784",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
41,Võ Sĩ Giác Đấu,2000,155 min,8.5,67        ,"1,390,560",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
42,American History X,1998,119 min,8.5,62        ,"1,062,586",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
43,Kẻ Chủ Mưu,1995,106 min,8.5,77        ,"1,023,459",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
44,Léon,1994,110 min,8.5,64        ,"1,074,930",$19.50M,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
45,Vua Sư Tử,1994,88 min,8.5,88        ,"977,817",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
46,Kẻ Hủy Diệt 2: Ngày Phán Xét,1991,137 min,8.5,75        ,"1,028,427",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg."
47,Nuovo Cinema Paradiso,1988,155 min,8.5,80        ,"243,319",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
48,Mộ Đom Đóm,1988,89 min,8.5,94        ,"250,154",,A young boy and his little sister struggle to survive in Japan during World War II.
49,Trở Lại Tương Lai,1985,116 min,8.5,87        ,"1,105,249",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
50,Once Upon a Time in the West,1968,165 min,8.5,80        ,"312,755",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
51,Psycho,1960,109 min,8.5,97        ,"626,620",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
52,Pather Panchali,1955,125 min,8.5,,"27,643",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
53,Rear Window,1954,112 min,8.5,100        ,"462,132",$36.76M,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
54,Casablanca,1942,102 min,8.5,100        ,"540,073",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
55,Modern Times,1936,87 min,8.5,96        ,"227,171",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
56,Ánh Sáng Đô Thị,1931,87 min,8.5,99        ,"174,819",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
57,Hamilton,2020,160 min,8.4,90        ,"71,496",,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
58,Capharnaüm,2018,126 min,8.4,75        ,"73,223",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
59,Joker,2019,122 min,8.4,59        ,"1,049,319",$335.45M,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
60,Ayla: The Daughter of War,2017,125 min,8.4,,"36,715",,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »"
61,Vikram Vedha,2017,147 min,8.4,,"32,952",,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
62,Tên Cậu Là Gì?,2016,106 min,8.4,79        ,"220,403",$5.02M,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
63,Dangal,2016,161 min,8.4,,"169,313",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
64,Người Nhện: Vũ Trụ Mới,2018,117 min,8.4,87        ,"419,565",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
65,Avengers: Hồi Kết,2019,181 min,8.4,78        ,"923,705",$858.37M,"After the devastating events of Avengers: Cuộc Chiến Vô Cực (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
66,Avengers: Cuộc Chiến Vô Cực,2018,149 min,8.4,68        ,"911,995",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
67,Coco,I) (,105 min,8.4,81        ,"425,411",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
68,Hành Trình Django,2012,165 min,8.4,81        ,"1,416,170",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
69,Kỵ Sĩ Bóng Đêm Trỗi Dậy,2012,164 min,8.4,78        ,"1,568,967",$448.14M,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
70,3 Idiots,2009,170 min,8.4,67        ,"364,621",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
71,Cậu Bé Đặc Biệt,2007,165 min,8.4,,"179,234",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
72,Rô-bốt Biết Yêu,2008,98 min,8.4,95        ,"1,036,576",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
73,The Lives of Others,2006,137 min,8.4,89        ,"370,733",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
74,Oldeuboi,2003,120 min,8.4,77        ,"537,133",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
75,Memento,2000,113 min,8.4,80        ,"1,163,071",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
76,Công Chúa Mononoke,1997,134 min,8.4,76        ,"361,875",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
77,Nước Mỹ Một Thời,1984,229 min,8.4,,"325,567",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
78,Indiana Jones Và Chiếc Rương Thánh Tích,1981,115 min,8.4,85        ,"912,654",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
79,The Shining,1980,146 min,8.4,66        ,"935,770",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
80,Apocalypse Now,1979,147 min,8.4,94        ,"626,639",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
81,Người Ngoài Hành Tinh,1979,117 min,8.4,89        ,"818,215",$78.90M,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
82,Tengoku to jigoku,1963,143 min,8.4,,"38,842",,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
83,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,8.4,97        ,"465,537",$0.28M,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
84,Witness for the Prosecution,1957,116 min,8.4,,"115,064",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
85,Paths of Glory,1957,88 min,8.4,90        ,"185,953",,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
86,Sunset Blvd.,1950,110 min,8.4,,"209,654",,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
87,The Great Dictator,1940,125 min,8.4,,"212,033",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
88,Chhichhore,2019,143 min,8.3,,"41,543",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
89,Thế Chiến 1917,2019,119 min,8.3,78        ,"482,736",$159.23M,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
90,Tumbbad,2018,104 min,8.3,,"35,703",,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
91,K.G.F: Chapter 1,2018,156 min,8.3,,"45,923",,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people."
92,Drishyam,2013,160 min,8.3,,"37,745",,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
93,Cuộc Săn Lùng,2012,115 min,8.3,77        ,"300,322",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
94,Jodaeiye Nader az Simin,2011,123 min,8.3,95        ,"230,373",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
95,Incendies,2010,131 min,8.3,80        ,"160,055",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
96,Thanh Gươm Diệt Quỷ: Chuyến Tàu Vô Tận,2020,117 min,8.3,75        ,"32,223",,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
97,The Father,I) (,97 min,8.3,88        ,"86,585",,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
98,Babam ve Oglum,2005,112 min,8.3,,"82,558",,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
99,Định Mệnh,2009,153 min,8.3,69        ,"1,323,223",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
100,Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,2004,108 min,8.3,89        ,"943,250",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
101,Le fabuleux destin d'Amélie Poulain,2001,122 min,8.3,69        ,"721,899",$33.23M,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
102,Snatch,2000,104 min,8.3,55        ,"807,400",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
103,Nguyen Cau Cho Mot Giac Mo,2000,102 min,8.3,68        ,"791,560",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
104,Vẻ Đẹp Mỹ,1999,122 min,8.3,84        ,"1,099,847",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
105,Will Hunting Tốt Bụng,1997,126 min,8.3,70        ,"894,900",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
106,Bacheha-Ye aseman,1997,89 min,8.3,77        ,"69,513",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
107,Câu Chuyện Đồ Chơi,1995,81 min,8.3,95        ,"921,705",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
108,Trái Tim Dũng Cảm,1995,178 min,8.3,68        ,"984,613",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
109,Những Kẻ Phản Bội,1992,99 min,8.3,79        ,"952,567",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
110,Full Metal Jacket,1987,116 min,8.3,76        ,"697,945",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
111,Idi i smotri,1985,142 min,8.3,,"66,669",,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
112,Những Người Ngoài Hành Tinh,1986,137 min,8.3,84        ,"674,986",$85.16M,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
113,Amadeus,1984,160 min,8.3,88        ,"380,445",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
114,Mặt Sẹo,1983,170 min,8.3,65        ,"773,361",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
115,Star Wars: Episode VI - Return of the Jedi,1983,131 min,8.3,58        ,"981,529",$309.13M,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
116,Das Boot,1981,149 min,8.3,86        ,"239,335",$11.49M,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
117,The Sting,1973,129 min,8.3,83        ,"249,447",$159.60M,Two grifters team up to pull off the ultimate con.
118,Cỗ Máy Tội Phạm,1971,136 min,8.3,77        ,"782,000",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
119,2001: A Space Odyssey,1968,149 min,8.3,84        ,"626,131",$56.95M,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
120,Giết Con Chim Nhại,1962,129 min,8.3,88        ,"302,961",,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
121,Lawrence of Arabia,1962,228 min,8.3,100        ,"278,087",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
122,The Apartment,1960,125 min,8.3,94        ,"170,986",$18.60M,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
123,North by Northwest,1959,136 min,8.3,98        ,"310,513",$13.28M,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
124,Vertigo,1958,128 min,8.3,100        ,"379,675",$3.20M,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
125,Singin' in the Rain,1952,103 min,8.3,99        ,"227,309",$8.82M,A silent film production company and cast make a difficult transition to sound.
126,Ikiru,1952,143 min,8.3,,"72,923",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
127,Ladri di biciclette,1948,89 min,8.3,,"154,616",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
128,Double Indemnity,1944,107 min,8.3,95        ,"149,058",$5.72M,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
129,Citizen Kane,1941,119 min,8.3,100        ,"420,246",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
130,M - Eine Stadt sucht einen Mörder,1931,117 min,8.3,,"149,576",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
131,Metropolis,1927,153 min,8.3,98        ,"165,830",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
132,The Kid,1921,68 min,8.3,,"119,210",$5.45M,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
133,Uri: The Surgical Strike,2018,138 min,8.2,,"48,405",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
134,Andhadhun,2018,139 min,8.2,,"81,174",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
135,Green Book,2018,130 min,8.2,69        ,"420,313",$85.08M,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
136,Dáng Hình Thanh Âm,2016,130 min,8.2,78        ,"60,736",,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
137,Talvar,2015,132 min,8.2,,"33,045",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
138,Baahubali 2: The Conclusion,2017,167 min,8.2,,"80,302",$20.19M,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
139,Klaus - Câu Chuyện Giáng Sinh,2019,96 min,8.2,65        ,"117,880",,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
140,Masaan,2015,109 min,8.2,,"25,561",,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
141,Drishyam,2015,163 min,8.2,,"76,133",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
142,Nu Hoang An Do,2013,146 min,8.2,,"62,663",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
143,Mandariinid,2013,87 min,8.2,73        ,"43,582",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
144,Bhaag Milkha Bhaag,2013,186 min,8.2,,"64,246",$1.63M,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.
145,Gangs of Wasseypur,2012,321 min,8.2,89        ,"88,755",,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
146,Udaan,2010,134 min,8.2,,"43,737",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
147,Paan Singh Tomar,2012,135 min,8.2,,"34,728",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
148,Sông Chi Môt Lân,2011,155 min,8.2,,"72,055",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
149,El secreto de sus ojos,2009,129 min,8.2,80        ,"200,019",$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
150,Đảo Kinh Hoàng,2010,138 min,8.2,63        ,"1,186,203",$128.01M,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
