,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
691,The Killing Fields,1984,141 min,7.8,76        ,"53,422",$34.70M,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians."
692,Ghostbusters,1984,105 min,7.8,71        ,"370,570",$238.63M,Three former parapsychology professors set up shop as a unique ghost removal service.
693,The Right Stuff,1983,193 min,7.8,91        ,"59,179",$21.50M,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program."
694,The King of Comedy,1982,109 min,7.8,73        ,"95,523",$2.50M,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself."
695,E.T. the Extra-Terrestrial,1982,115 min,7.8,91        ,"385,435",$435.11M,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.
696,Kramer vs. Kramer,1979,105 min,7.8,77        ,"138,388",$106.26M,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation."
697,Ngày Thiên Đường,1978,94 min,7.8,93        ,"55,188",,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.
698,The Outlaw Josey Wales,1976,135 min,7.8,69        ,"69,010",$31.80M,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
699,The Man Who Would Be King,1975,129 min,7.8,91        ,"46,799",,"Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great."
700,The Conversation,1974,113 min,7.8,85        ,"105,087",$4.42M,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
701,La planète sauvage,1973,72 min,7.8,73        ,"27,758",$0.19M,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
702,The Day of the Jackal,1973,143 min,7.8,80        ,"38,949",$16.06M,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France."
703,Badlands,1973,94 min,7.8,93        ,"69,295",,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.
704,Cabaret,1972,124 min,7.8,80        ,"51,613",$42.77M,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
705,Willy Wonka và Nhà Máy Sôcôla,1971,100 min,7.8,67        ,"187,262",$4.00M,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
706,Midnight Cowboy,1969,113 min,7.8,79        ,"105,899",$44.79M,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
